99354543,Patent Law
112348546,Database Systems
112348546,Operating System Design
115987938,Database Systems
115987938,Operating System Design
301221823,American Political Parties
301221823,Perception
301221823,Social Cognition
322654189,Database Systems
322654189,Operating System Design
348121549,Database Systems
455798411,Operating System Design
455798411,Optical Electronics
455798411,Organic Chemistry
552455318,Communication Networks
552455318,Database Systems
552455318,Operating System Design
556784565,Air Quality Engineering
567354612,Data Structures
567354612,Operating System Design
574489456,Urban Economics
